"Positionsinhaber","Emittent","ISIN","Position","Datum"
"Millennium International Management LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,60","2015-04-13"
"GLG Partners LP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2","0,51","2015-04-13"
"Marshall Wace LLP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2","1,03","2015-04-13"
"BlackRock Investment Management (UK) Limited","Pfeiffer Vacuum GmbH","DE0006916604","0,59","2015-04-10"
"BlackRock Institutional Trust Company, National Association","Rheinmetall Aktiengesellschaft","DE0007030009","0,50","2015-04-10"
"Oxford Asset Management","Rheinmetall Aktiengesellschaft","DE0007030009","0,59","2015-04-10"
"Citadel Europe LLP","Südzucker AG","DE0007297004","0,50","2015-04-10"
"DSAM Partners LLP","Südzucker AG","DE0007297004","0,51","2015-04-10"
"Marshall Wace LLP","Südzucker AG","DE0007297004","0,70","2015-04-10"
"BG Master Fund Plc","Volkswagen Versicherung Aktiengesellschaft","DE0007664039","1,60","2015-04-10"
"WorldQuant, LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,86","2015-04-10"
"UBS Global Asset Management (UK) Ltd","Hamburger Hafen und Logistik Aktiengesellschaft","DE000A0S8488","0,71","2015-04-10"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6","2,10","2015-04-10"
"Macquarie Funds Management Hong Kong Limited","AIXTRON SE","DE000A0WMPJ6","0,74","2015-04-10"
"Citadel Advisors LLC","K+S Aktiengesellschaft","DE000KSAG888","0,89","2015-04-10"
"UBS Global Asset Management (UK) Ltd","Fraport AG Frankfurt Airport Services Worldwide","DE0005773303","0,60","2015-04-09"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","0,61","2015-04-09"
"Clearance Capital LLP","HAMBORNER REIT AG","DE0006013006","1,22","2015-04-09"
"JPMorgan Asset Management (UK) Ltd","HAMBORNER REIT AG","DE0006013006","0,00","2015-04-09"
"AQR Capital Management, LLC","Salzgitter Aktiengesellschaft","DE0006202005","1,30","2015-04-09"
"BlueCrest Capital Management Limited","MorphoSys AG","DE0006632003","0,50","2015-04-09"
"BlackRock Institutional Trust Company, National Association","Rheinmetall Aktiengesellschaft","DE0007030009","0,48","2015-04-09"
"BlackRock Investment Management (UK) Limited","Südzucker AG","DE0007297004","0,50","2015-04-09"
"Myriad Opportunities Master Fund Limited","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,67","2015-04-09"
"UBS O'Connor Limited","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,80","2015-04-09"
"BlackRock Institutional Trust Company, National Association","ElringKlinger AG","DE0007856023","0,49","2015-04-09"
"PSquared Master SICAV Limited","TAG Immobilien AG","DE0008303504","1,12","2015-04-09"
"Marshall Wace LLP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2","1,15","2015-04-09"
"BlackRock Investment Management (UK) Limited","Manz AG","DE000A0JQ5U3","0,67","2015-04-09"
"UBS O'Connor Limited","Manz AG","DE000A0JQ5U3","1,10","2015-04-09"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6","2,29","2015-04-09"
"Marshall Wace LLP","QSC AG","DE0005137004","0,76","2015-04-08"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,45","2015-04-08"
"Adage Capital Management L.P.","MorphoSys AG","DE0006632003","0,36","2015-04-08"
"Numeric Investors LLC","Schaltbau Holding AG","DE0007170300","0,77","2015-04-08"
"BlackRock Institutional Trust Company, National Association","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,60","2015-04-08"
"CQS (UK) LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,72","2015-04-08"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,51","2015-04-08"
"WorldQuant, LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,90","2015-04-08"
"GAM Investment Management Lugano SA","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2","0,54","2015-04-08"
"GLG Partners LP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2","0,43","2015-04-08"
"Marshall Wace LLP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2","1,21","2015-04-08"
"Macquarie Funds Management Hong Kong Limited","AIXTRON SE","DE000A0WMPJ6","0,64","2015-04-08"
"Citadel Advisors LLC","K+S Aktiengesellschaft","DE000KSAG888","0,96","2015-04-08"
"Two Creeks Capital Management, LP","K+S Aktiengesellschaft","DE000KSAG888","1,40","2015-04-08"
"Clearance Capital LLP","HAMBORNER REIT AG","DE0006013006","1,15","2015-04-07"
"Otus Capital Management Limited","KUKA Aktiengesellschaft","DE0006204407","0,78","2015-04-07"
"Adage Capital Management L.P.","MorphoSys AG","DE0006632003","0,55","2015-04-07"
"Marshall Wace LLP","MorphoSys AG","DE0006632003","0,47","2015-04-07"
"Millennium International Management LP","MorphoSys AG","DE0006632003","1,57","2015-04-07"
"BlackRock Investment Management (UK) Limited","Südzucker AG","DE0007297004","0,49","2015-04-07"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,49","2015-04-07"
"WorldQuant, LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,80","2015-04-07"
"Marshall Wace LLP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2","1,41","2015-04-07"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6","2,36","2015-04-07"
"BlackRock Investment Management (UK) Limited","RIB Software AG","DE000A0Z2XN6","0,89","2015-04-07"
"Odey Asset Management LLP","adidas AG","DE000A1EWWW0","1,60","2015-04-07"
"BlueCrest Capital Management Limited","MorphoSys AG","DE0006632003","0,50","2015-04-02"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,59","2015-04-02"
"WorldQuant, LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,70","2015-04-02"
"PSquared Master SICAV Limited","TAG Immobilien AG","DE0008303504","1,00","2015-04-02"
"UBS O'Connor Limited","Manz AG","DE000A0JQ5U3","1,01","2015-04-02"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6","2,47","2015-04-02"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,33","2015-04-02"
"Systematica Investments Limited","AIXTRON SE","DE000A0WMPJ6","0,60","2015-04-02"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","0,81","2015-04-02"
"UBS O'Connor Limited","RIB Software AG","DE000A0Z2XN6","0,80","2015-04-02"
"Millennium International Management LP","Klöckner & Co SE","DE000KC01000","0,51","2015-04-02"
"Citadel Advisors LLC","K+S Aktiengesellschaft","DE000KSAG888","1,01","2015-04-02"
"BlackRock Investment Management (UK) Limited","Brunel International N.V.","NL0010776944","0,81","2015-04-02"
"AKO Capital LLP","Software Aktiengesellschaft","DE0003304002","1,57","2015-04-01"
"Numeric Investors LLC","HAMBORNER REIT AG","DE0006013006","0,90","2015-04-01"
"UBS Global Asset Management (UK) Ltd","Salzgitter Aktiengesellschaft","DE0006202005","1,36","2015-04-01"
"Adage Capital Management L.P.","MorphoSys AG","DE0006632003","0,64","2015-04-01"
"Millennium International Management LP","MorphoSys AG","DE0006632003","1,60","2015-04-01"
"BlackRock Institutional Trust Company, National Association","Rheinmetall Aktiengesellschaft","DE0007030009","0,51","2015-04-01"
"CapeView Capital","Südzucker AG","DE0007297004","0,51","2015-04-01"
"Marshall Wace LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,49","2015-04-01"
"Clearance Capital LLP","TAG Immobilien AG","DE0008303504","0,97","2015-04-01"
"CQS (UK) LLP","alstria office REIT-AG","DE000A0LD2U1","1,92","2015-04-01"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6","2,58","2015-04-01"
"Macquarie Funds Management Hong Kong Limited","AIXTRON SE","DE000A0WMPJ6","0,59","2015-04-01"
"D. E. Shaw & Co., L.P.","K+S Aktiengesellschaft","DE000KSAG888","0,69","2015-04-01"
"HBK Investments L.P.","CyrusOne Inc","US23283R1005","0,26","2015-04-01"
"AKO Capital LLP","Software Aktiengesellschaft","DE0003304002","1,44","2015-03-31"
"BlackRock Investment Management (UK) Limited","Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien","DE0005493092","1,01","2015-03-31"
"Numeric Investors LLC","Schaltbau Holding AG","DE0007170300","0,87","2015-03-31"
"BlackRock Investment Management (UK) Limited","WINCOR NIXDORF International GmbH","DE000A0CAYB2","0,49","2015-03-31"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6","2,68","2015-03-31"
"BlueCrest Capital Management Limited","CANCOM SE","DE0005419105","0,60","2015-03-30"
"AQR Capital Management, LLC","Bilfinger SE","DE0005909006","1,70","2015-03-30"
"UBS Global Asset Management (UK) Ltd","Salzgitter Aktiengesellschaft","DE0006202005","0,80","2015-03-30"
"Marshall Wace LLP","MorphoSys AG","DE0006632003","0,50","2015-03-30"
"Millennium International Management LP","MorphoSys AG","DE0006632003","1,50","2015-03-30"
"Oxford Asset Management","MorphoSys AG","DE0006632003","0,50","2015-03-30"
"Swiss & Global Asset Management AG","STADA Arzneimittel Aktiengesellschaft","DE0007251803","0,54","2015-03-30"
"CQS (UK) LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,82","2015-03-30"
"UBS O'Connor Limited","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,72","2015-03-30"
"BG Master Fund Plc","Volkswagen Versicherung Aktiengesellschaft","DE0007664039","1,59","2015-03-30"
"BlackRock Institutional Trust Company, National Association","ElringKlinger AG","DE0007856023","0,59","2015-03-30"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,60","2015-03-30"
"Millennium International Management LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,58","2015-03-30"
"WorldQuant, LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,64","2015-03-30"
"WorldQuant, LLC","LEONI AG","DE0005408884","0,49","2015-03-27"
"BlackRock Institutional Trust Company, National Association","Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien","DE0005493092","0,50","2015-03-27"
"Adage Capital Management L.P.","MorphoSys AG","DE0006632003","0,74","2015-03-27"
"CQS (UK) LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,63","2015-03-27"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,59","2015-03-27"
"Millennium International Management LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,60","2015-03-27"
"WorldQuant, LLC","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,58","2015-03-27"
"Marshall Wace LLP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2","1,31","2015-03-27"
"CQS (UK) LLP","alstria office REIT-AG","DE000A0LD2U1","1,80","2015-03-27"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","0,79","2015-03-27"
"Odey Asset Management LLP","adidas AG","DE000A1EWWW0","1,59","2015-03-27"
"Macquarie Funds Management Hong Kong Limited","CANCOM SE","DE0005419105","0,45","2015-03-26"
"BlackRock Investment Management (UK) Limited","Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien","DE0005493092","0,93","2015-03-26"
"JPMorgan Asset Management (UK) Ltd","GRAMMER Aktiengesellschaft","DE0005895403","0,96","2015-03-26"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,50","2015-03-26"
"Citadel Europe LLP","KUKA Aktiengesellschaft","DE0006204407","0,50","2015-03-26"
"Hutchin Hill Capital, LP","LPKF Laser & Electronics Aktiengesellschaft","DE0006450000","0,50","2015-03-26"
"Millennium International Management LP","MorphoSys AG","DE0006632003","1,67","2015-03-26"
"CQS (UK) LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,53","2015-03-26"
"Myriad Opportunities Master Fund Limited","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,51","2015-03-26"
"Valinor Management, LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","1,50","2015-03-26"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,60","2015-03-26"
"Millennium International Management LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,59","2015-03-26"
"CQS (UK) LLP","alstria office REIT-AG","DE000A0LD2U1","1,91","2015-03-26"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6","2,79","2015-03-26"
"Millennium International Management LP","Klöckner & Co SE","DE000KC01000","0,44","2015-03-26"
"Two Creeks Capital Management, LP","K+S Aktiengesellschaft","DE000KSAG888","1,35","2015-03-26"
"JPMorgan Asset Management (UK) Ltd","GRAMMER Aktiengesellschaft","DE0005895403","0,77","2015-03-25"
"AQR Capital Management, LLC","Salzgitter Aktiengesellschaft","DE0006202005","1,22","2015-03-25"
"Citadel Europe LLP","KUKA Aktiengesellschaft","DE0006204407","0,49","2015-03-25"
"CQS (UK) LLP","KUKA Aktiengesellschaft","DE0006204407","2,26","2015-03-25"
"Millennium International Management LP","MorphoSys AG","DE0006632003","2,02","2015-03-25"
"Marshall Wace LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,59","2015-03-25"
"Valinor Management, LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","1,62","2015-03-25"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,59","2015-03-25"
"CQS (UK) LLP","alstria office REIT-AG","DE000A0LD2U1","1,86","2015-03-25"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6","2,86","2015-03-25"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,43","2015-03-25"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","0,80","2015-03-25"
"Millennium International Management LP","Klöckner & Co SE","DE000KC01000","0,50","2015-03-25"
"AQR Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888","0,77","2015-03-25"
"D. E. Shaw & Co., L.P.","K+S Aktiengesellschaft","DE000KSAG888","0,78","2015-03-25"
"Two Creeks Capital Management, LP","K+S Aktiengesellschaft","DE000KSAG888","1,29","2015-03-25"
"BlackRock Investment Management (UK) Limited","Brunel International N.V.","NL0010776944","0,70","2015-03-25"
"JPMorgan Asset Management (UK) Ltd","GRAMMER Aktiengesellschaft","DE0005895403","0,65","2015-03-24"
"Citadel Europe LLP","KUKA Aktiengesellschaft","DE0006204407","0,50","2015-03-24"
"JPMorgan Asset Management (UK) Ltd","LPKF Laser & Electronics Aktiengesellschaft","DE0006450000","0,80","2015-03-24"
"UBS O'Connor Limited","LPKF Laser & Electronics Aktiengesellschaft","DE0006450000","0,02","2015-03-24"
"Millennium International Management LP","MorphoSys AG","DE0006632003","2,18","2015-03-24"
"AQR Capital Management, LLC","METRO AG","DE0007257503","0,49","2015-03-24"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,61","2015-03-24"
"Millennium International Management LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,65","2015-03-24"
"Viking Global Investors LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,23","2015-03-24"
"UBS Global Asset Management (UK) Ltd","Hamburger Hafen und Logistik Aktiengesellschaft","DE000A0S8488","0,61","2015-03-24"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6","2,94","2015-03-24"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","0,79","2015-03-24"
"BlackRock Investment Management (UK) Limited","Pfeiffer Vacuum GmbH","DE0006916604","0,69","2015-03-23"
"Millennium International Management LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,73","2015-03-23"
"Viking Global Investors LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,02","2015-03-23"
"Marshall Wace LLP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2","1,23","2015-03-23"
"Adage Capital Management L.P.","MTU Aero Engines AG","DE000A0D9PT0","1,15","2015-03-23"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","0,81","2015-03-23"
"Millennium International Management LP","Klöckner & Co SE","DE000KC01000","0,49","2015-03-23"
"HBK Investments L.P.","CyrusOne Inc","US23283R1005","0,69","2015-03-23"
"AKO Capital LLP","Software Aktiengesellschaft","DE0003304002","1,36","2015-03-20"
"BlackRock Investment Management (UK) Limited","Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien","DE0005493092","0,80","2015-03-20"
"AQR Capital Management, LLC","Bilfinger SE","DE0005909006","1,61","2015-03-20"
"BlackRock Investment Management (UK) Limited","Südzucker AG","DE0007297004","0,53","2015-03-20"
"Millennium International Management LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,69","2015-03-20"
"Senator Investment Group LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,05","2015-03-20"
"Viking Global Investors LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,45","2015-03-20"
"CQS (UK) LLP","alstria office REIT-AG","DE000A0LD2U1","2,11","2015-03-20"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6","3,02","2015-03-20"
"Hutchin Hill Capital, LP","AIXTRON SE","DE000A0WMPJ6","0,70","2015-03-20"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","0,90","2015-03-20"
"BlackRock Investment Management (UK) Limited","RIB Software AG","DE000A0Z2XN6","0,98","2015-03-20"
"Citadel Advisors LLC","K+S Aktiengesellschaft","DE000KSAG888","0,92","2015-03-20"
"D. E. Shaw & Co., L.P.","K+S Aktiengesellschaft","DE000KSAG888","0,88","2015-03-20"
"Pine River Capital Management L.P.","BUWOG AG","AT00BUWOG001","0,71","2015-03-19"
"AKO Capital LLP","Software Aktiengesellschaft","DE0003304002","1,04","2015-03-19"
"Alken Luxembourg","LANXESS Aktiengesellschaft","DE0005470405","0,66","2015-03-19"
"Citadel Europe LLP","LANXESS Aktiengesellschaft","DE0005470405","1,12","2015-03-19"
"BlackRock Investment Management (UK) Limited","Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien","DE0005493092","0,71","2015-03-19"
"Macquarie Funds Management Hong Kong Limited","Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien","DE0005493092","0,49","2015-03-19"
"Oxford Asset Management","Bilfinger Ahr Carecatering GmbH","DE0005909006","0,50","2015-03-19"
"Marshall Wace LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,82","2015-03-19"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,49","2015-03-19"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6","3,12","2015-03-19"
"BlackRock Institutional Trust Company, National Association","RIB Software AG","DE000A0Z2XN6","0,49","2015-03-19"
"Millennium International Management LP","Klöckner & Co SE","DE000KC01000","0,50","2015-03-19"
"AQR Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888","0,88","2015-03-19"
"D. E. Shaw & Co., L.P.","K+S Aktiengesellschaft","DE000KSAG888","0,95","2015-03-19"
"CQS (UK) LLP","Grand City Property GmbH","LU0775917882","0,78","2015-03-19"
"Alken Luxembourg","LANXESS Aktiengesellschaft","DE0005470405","0,58","2015-03-18"
"JPMorgan Asset Management (UK) Ltd","LANXESS Aktiengesellschaft","DE0005470405","0,70","2015-03-18"
"Numeric Investors LLC","HAMBORNER REIT AG","DE0006013006","0,81","2015-03-18"
"Millennium International Management LP","MorphoSys AG","DE0006632003","2,23","2015-03-18"
"Egerton Capital (UK) LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,35","2015-03-18"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,52","2015-03-18"
"Millennium International Management LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,71","2015-03-18"
"Senator Investment Group LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,90","2015-03-18"
"Viking Global Investors LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,55","2015-03-18"
"BlackRock Investment Management (UK) Limited","WINCOR NIXDORF International GmbH","DE000A0CAYB2","0,50","2015-03-18"
"Adage Capital Management L.P.","MTU Aero Engines AG","DE000A0D9PT0","1,28","2015-03-18"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","0,82","2015-03-18"
"Millennium International Management LP","Klöckner & Co SE","DE000KC01000","0,62","2015-03-18"
"Citadel Advisors LLC","K+S Aktiengesellschaft","DE000KSAG888","0,81","2015-03-18"
"Emerging Sovereign Group, LLC","K+S Aktiengesellschaft","DE000KSAG888","1,78","2015-03-18"
"BlackRock Investment Management (UK) Limited","ADLER Real Estate Aktiengesellschaft","DE0005008007","0,60","2015-03-17"
"AQR Capital Management, LLC","LANXESS Aktiengesellschaft","DE0005470405","0,70","2015-03-17"
"BlackRock Investment Management (UK) Limited","Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien","DE0005493092","0,60","2015-03-17"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","0,54","2015-03-17"
"Marshall Wace LLP","HeidelbergCement AG","DE0006047004","0,48","2015-03-17"
"CQS (UK) LLP","KUKA Aktiengesellschaft","DE0006204407","2,00","2015-03-17"
"AQR Capital Management, LLC","Rheinmetall Aktiengesellschaft","DE0007030009","1,20","2015-03-17"
"BG Master Fund Plc","Volkswagen Versicherung Aktiengesellschaft","DE0007664005","0,62","2015-03-17"
"BG Master Fund Plc","Volkswagen Versicherung Aktiengesellschaft","DE0007664039","1,63","2015-03-17"
"Millennium International Management LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,62","2015-03-17"
"Clearance Capital LLP","TAG Immobilien AG","DE0008303504","0,85","2015-03-17"
"Adage Capital Management L.P.","MTU Aero Engines AG","DE000A0D9PT0","1,32","2015-03-17"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6","3,29","2015-03-17"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","0,79","2015-03-17"
"D. E. Shaw & Co., L.P.","K+S Aktiengesellschaft","DE000KSAG888","1,08","2015-03-17"
"LINDEN ADVISORS LP","Dialog Semiconductor GmbH","GB0059822006","2,11","2015-03-17"
"CQS (UK) LLP","Grand City Property GmbH","LU0775917882","0,60","2015-03-17"
"HBK Investments L.P.","RSP Permian Inc","US74978Q1058","0,48","2015-03-17"
"AQR Capital Management, LLC","LANXESS Aktiengesellschaft","DE0005470405","0,69","2015-03-16"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","0,44","2015-03-16"
"Otus Capital Management Limited","KUKA Aktiengesellschaft","DE0006204407","0,81","2015-03-16"
"BG Master Fund Plc","Volkswagen Versicherung Aktiengesellschaft","DE0007664005","0,53","2015-03-16"
"BG Master Fund Plc","Volkswagen Versicherung Aktiengesellschaft","DE0007664039","1,40","2015-03-16"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,60","2015-03-16"
"Marshall Wace LLP","Deutsche Wohnen AG","DE000A0HN5C6","0,51","2015-03-16"
"Magnetar Financial LLC","Deutsche Annington Immobilien SE","DE000A1ML7J1","0,00","2015-03-16"
"BlueCrest Capital Management Limited","CANCOM SE","DE0005419105","0,51","2015-03-13"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","0,55","2015-03-13"
"BlackRock Investment Management (UK) Limited","Pfeiffer Vacuum GmbH","DE0006916604","0,77","2015-03-13"
"BlackRock Institutional Trust Company, National Association","ElringKlinger AG","DE0007856023","0,69","2015-03-13"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,58","2015-03-13"
"Millennium International Management LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,51","2015-03-13"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","0,87","2015-03-13"
"BlackRock Investment Management (UK) Limited","RIB Software AG","DE000A0Z2XN6","1,08","2015-03-13"
"Two Creeks Capital Management LP","K+S Aktiengesellschaft","DE000KSAG888","1,14","2015-03-13"
"BlackRock Investment Management (UK) Limited","Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien","DE0005493092","0,50","2015-03-12"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","0,65","2015-03-12"
"CQS (UK) LLP","KUKA Aktiengesellschaft","DE0006204407","1,92","2015-03-12"
"BlackRock Institutional Trust Company, National Association","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,56","2015-03-12"
"AKO Capital LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,61","2015-03-12"
"Egerton Capital (UK) LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,70","2015-03-12"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,49","2015-03-12"
"Senator Investment Group LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,86","2015-03-12"
"JPMorgan Asset Management (UK) Ltd","AIXTRON SE","DE000A0WMPJ6","3,05","2015-03-12"
"Millennium International Management LP","Klöckner & Co SE","DE000KC01000","0,51","2015-03-12"
"Citadel Advisors LLC","K+S Aktiengesellschaft","DE000KSAG888","0,72","2015-03-12"
"D. E. Shaw & Co., L.P.","K+S Aktiengesellschaft","DE000KSAG888","1,18","2015-03-12"
"Myriad Opportunities Master Fund Limited","Drillisch Aktiengesellschaft","DE0005545503","0,94","2015-03-11"
"Millennium International Management LP","MorphoSys AG","DE0006632003","2,11","2015-03-11"
"Clearance Capital LLP","TAG Immobilien AG","DE0008303504","0,91","2015-03-11"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6","3,46","2015-03-11"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","0,97","2015-03-11"
"BTG Pactual Europe LLP","Deutsche Annington Immobilien SE","DE000A1ML7J1","0,01","2015-03-11"
"D.E. Shaw & Co. (London), LLP","Deutsche Annington Immobilien SE","DE000A1ML7J1","0,00","2015-03-11"
"HBK Investments L.P.","Deutsche Annington Immobilien SE","DE000A1ML7J1","0,00","2015-03-11"
"Marshall Wace LLP","Deutsche Annington Immobilien SE","DE000A1ML7J1","0,40","2015-03-11"
"Citadel Advisors LLC","K+S Aktiengesellschaft","DE000KSAG888","0,50","2015-03-11"
"CQS (UK) LLP","Grand City Property GmbH","LU0775917882","0,51","2015-03-11"
"Numeric Investors LLC","HAMBORNER REIT AG","DE0006013006","0,73","2015-03-10"
"Marshall Wace LLP","ThyssenKrupp AG","DE0007500001","0,49","2015-03-10"
"JPMorgan Asset Management (UK) Ltd","ElringKlinger AG","DE0007856023","0,80","2015-03-10"
"Systematica Investments Limited","AIXTRON SE","DE000A0WMPJ6","0,51","2015-03-10"
"BlackRock Institutional Trust Company, National Association","RIB Software AG","DE000A0Z2XN6","0,58","2015-03-10"
"D. E. Shaw & Co., L.P.","K+S Aktiengesellschaft","DE000KSAG888","1,29","2015-03-10"
"Myriad Opportunities Master Fund Limited","Drillisch Aktiengesellschaft","DE0005545503","0,87","2015-03-09"
"UBS Global Asset Management (UK) Ltd","SGL Carbon SE","DE0007235301","0,83","2015-03-09"
"Marshall Wace LLP","TAG Immobilien AG","DE0008303504","0,48","2015-03-09"
"GLG Partners LP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2","0,62","2015-03-09"
"WorldQuant, LLC","AIXTRON SE","DE000A0WMPJ6","1,07","2015-03-09"
